date,portfolio_value,cash,num_positions,unrealized_pnl
2024-11-06,100000,100000,0,0
2024-11-15,100000,100000,0,0
2024-11-25,100000,100000,0,0
2024-12-03,100000,100000,0,0
2024-12-04,100000,100000,0,0
2024-12-06,100000,100000,0,0
2024-12-09,100000,100000,0,0
2024-12-10,100000,100000,0,0
2024-12-12,100000,100000,0,0
2024-12-26,100000,100000,0,0
2024-12-30,100000,100000,0,0
2024-12-31,100000,100000,0,0
2025-01-02,100000,100000,0,0
2025-01-06,100000,100000,0,0
2025-01-07,100000,100000,0,0
2025-01-08,100000,100000,0,0
2025-01-10,100000,100000,0,0
2025-01-16,100000,100000,0,0
2025-01-27,100000,100000,0,0
2025-01-29,100000,100000,0,0
2025-02-11,100000,100000,0,0
2025-02-12,100000,100000,0,0
2025-02-13,100000,100000,0,0
2025-02-14,100000,100000,0,0
2025-02-21,100000,100000,0,0
2025-03-06,100000,100000,0,0
2025-03-07,100000,100000,0,0
2025-03-13,100000,100000,0,0
2025-03-14,100000,100000,0,0
2025-03-25,100000,100000,0,0
2025-04-03,100000,100000,0,0
2025-04-08,100000,100000,0,0
2025-04-09,100000,100000,0,0
2025-04-23,100000,100000,0,0
2025-04-24,100000,100000,0,0
2025-04-25,100000,100000,0,0
2025-04-30,100000,100000,0,0
2025-05-05,100000,100000,0,0
2025-05-07,100000,100000,0,0
2025-05-12,100000,100000,0,0
2025-05-16,100000,100000,0,0
2025-05-21,100000,100000,0,0
2025-05-23,100000,100000,0,0
2025-05-29,100000,100000,0,0
2025-05-30,100000,100000,0,0
2025-06-06,100000,100000,0,0
2025-06-09,100000,100000,0,0
2025-06-11,100000,100000,0,0
2025-06-13,100000,100000,0,0
2025-06-17,100000,100000,0,0
2025-06-18,100000,100000,0,0
2025-06-23,100000,100000,0,0
2025-06-24,100000,100000,0,0
2025-06-30,100000,100000,0,0
2025-07-04,100000,100000,0,0
2025-07-09,100000,100000,0,0
2025-07-10,100000,100000,0,0
2025-07-14,100000,100000,0,0
2025-07-17,100000,100000,0,0
2025-08-01,100000,100000,0,0
2025-08-12,100000,100000,0,0
2025-08-13,100000,100000,0,0
2025-08-14,100000,100000,0,0
2025-08-21,100000,100000,0,0
2025-08-25,100000,100000,0,0
2025-08-26,100000,100000,0,0
2025-08-27,100000,100000,0,0
2025-08-29,100000,100000,0,0
2025-09-02,100000,100000,0,0
2025-09-03,100000,100000,0,0
2025-09-04,100000,100000,0,0
2025-09-08,100000,100000,0,0
2025-09-12,100000,100000,0,0
2025-09-16,100000,100000,0,0
2025-09-19,100000,100000,0,0
2025-09-30,100000,100000,0,0
2025-10-01,100000,100000,0,0
2025-10-06,100000,100000,0,0
2025-10-07,100000,100000,0,0
2025-10-20,100000,100000,0,0
2025-10-23,100000,100000,0,0
2025-10-29,100000,100000,0,0
2025-11-03,100000,100000,0,0
2025-11-13,100000,100000,0,0
2025-11-18,100000,100000,0,0
2025-11-20,100000,100000,0,0
2025-12-05,100000,100000,0,0
2025-12-10,100000,100000,0,0
2025-12-19,100000,100000,0,0
2025-12-22,100000,100000,0,0
2025-12-24,100000,100000,0,0
2026-01-05,100000,100000,0,0
2026-01-07,100000,100000,0,0
2026-01-20,100000,100000,0,0
